Begin Date,Begin Time,End Time,Vehicle Location,Vehicle Type,Vehicle Characteristics,Transaction Characteristics,Bikeway Users Displaced,LZ Space Avail,Occupied while idle?,CNS?,TNC?,Notes,Duration
8/21/2019,7:22:33 PM,7:22:41 PM,Space 2,Car,Blinkers on,Interaction with parking meter,,,TRUE,FALSE,FALSE,,0:00:08
8/21/2019,7:22:45 PM,7:23:48 PM,Space 2,Car,Blinkers on,Interaction with parking meter,,,FALSE,TRUE,FALSE,,0:01:03
8/21/2019,7:23:08 PM,7:23:15 PM,SB bike lane,Car,,Interaction with parking meter,0,,FALSE,FALSE,TRUE,,0:00:07
8/21/2019,7:25:52 PM,7:29:21 PM,Space 2,Car,Blinkers on,No interaction with parking meter,,,FALSE,FALSE,FALSE,,0:03:29
8/21/2019,7:26:18 PM,7:26:24 PM,SB bike lane,Car,,No interaction with parking meter,0,,FALSE,FALSE,TRUE,,0:00:06
8/21/2019,7:26:24 PM,7:30:51 PM,Space 1,Car,Blinkers on,No interaction with parking meter,,,FALSE,FALSE,FALSE,,0:04:27
8/21/2019,7:30:58 PM,7:31:15 PM,Space 1,Car,,No interaction with parking meter,,,FALSE,FALSE,FALSE,,0:00:17
8/21/2019,7:31:56 PM,7:33:43 PM,Space 2,Car,Blinkers on,No interaction with parking meter,,,FALSE,TRUE,FALSE,,0:01:47
8/21/2019,7:26:00 PM,7:43:17 PM,Other (take notes),,,No interaction with parking meter,,,FALSE,FALSE,FALSE,motorcyle parked in space two but still allows cars to park there,0:17:17
8/21/2019,7:35:24 PM,7:45:18 PM,Space 2,Car,,No interaction with parking meter,,,FALSE,FALSE,FALSE,,0:09:54
8/21/2019,7:35:43 PM,7:37:58 PM,Space 1,Car,Blinkers on,No interaction with parking meter,,,FALSE,TRUE,FALSE,,0:02:15
8/21/2019,7:39:59 PM,7:40:22 PM,SB bike lane,Car,Blinkers on,No interaction with parking meter,0,,TRUE,FALSE,TRUE,,0:00:23
8/21/2019,7:40:53 PM,7:43:17 PM,Space 1,Car,Blinkers on,No interaction with parking meter,,,FALSE,TRUE,FALSE,,0:02:24
8/21/2019,7:49:31 PM,7:50:33 PM,Space 1,Car,Blinkers on,No one exits vehicle,,,FALSE,FALSE,FALSE,,0:01:02
8/21/2019,7:51:07 PM,7:52:45 PM,Space 2,Car,Blinkers on,No interaction with parking meter,,,FALSE,FALSE,TRUE,Confirmed TNC,0:01:38
